ac_number,ac_name,part_number,station_name,file_name
12,MELLI,9,KERABARI JR. HIGH SCHOOL,sikkim_pdfs/12_009.pdf
12,MELLI,10,MELLI PAIYONG JR. HIGH SCHOOL,sikkim_pdfs/12_010.pdf
12,MELLI,11,SUNTALEY JR. HIGH SCHOOL,sikkim_pdfs/12_011.pdf
12,MELLI,12,SADAM SR. SEC SCHOOL ROOM NO. I,sikkim_pdfs/12_012.pdf
12,MELLI,13,SADAM SR. SEC. SCHOOL ROOM NO II,sikkim_pdfs/12_013.pdf
12,MELLI,14,RABITAR JR. HIGH SCHOOL,sikkim_pdfs/12_014.pdf
12,MELLI,15,MELLI BAZAR SEC. SCHOOL ROOM NO I,sikkim_pdfs/12_015.pdf
12,MELLI,16,MELLI BAZAR SEC. SCHOOL ROOM NO II,sikkim_pdfs/12_016.pdf
12,MELLI,17,MELLIDARA SEC. SCHOOL,sikkim_pdfs/12_017.pdf
13,NAMTHANG RATEYPANI,1,KABREY SEC. SCHOOL,sikkim_pdfs/13_001.pdf
13,NAMTHANG RATEYPANI,2,KAREK (KAIJALEY) JR. HIGH SCHOOL,sikkim_pdfs/13_002.pdf
13,NAMTHANG RATEYPANI,3,PHONG SEC. SCHOOL,sikkim_pdfs/13_003.pdf
13,NAMTHANG RATEYPANI,4,CHUBA JR. HIGH SCHOOL,sikkim_pdfs/13_004.pdf
13,NAMTHANG RATEYPANI,5,PERBING SR. SEC. SCHOOL ROOM NO.I,sikkim_pdfs/13_005.pdf
13,NAMTHANG RATEYPANI,6,PERBING SR. SEC. SCHOOL ROOM NO.II,sikkim_pdfs/13_006.pdf
13,NAMTHANG RATEYPANI,7,TINGLEY SEC. SCHOOL ROOM NO. I,sikkim_pdfs/13_007.pdf
