district_name,ac_number,ac_name,poll_station_number,filename
Tripura West (GEN),6,Agartala (Gen),52,tripura_pdfs/ac0060052.pdf
Tripura West (GEN),6,Agartala (Gen),53,tripura_pdfs/ac0060053.pdf
Tripura West (GEN),6,Agartala (Gen),54,tripura_pdfs/ac0060054.pdf
Tripura West (GEN),7,Ramnagar (Gen),1,tripura_pdfs/ac0070001.pdf
Tripura West (GEN),7,Ramnagar (Gen),2,tripura_pdfs/ac0070002.pdf
Tripura West (GEN),7,Ramnagar (Gen),3,tripura_pdfs/ac0070003.pdf
Tripura West (GEN),7,Ramnagar (Gen),4,tripura_pdfs/ac0070004.pdf
Tripura West (GEN),7,Ramnagar (Gen),5,tripura_pdfs/ac0070005.pdf
Tripura West (GEN),7,Ramnagar (Gen),6,tripura_pdfs/ac0070006.pdf
Tripura West (GEN),7,Ramnagar (Gen),7,tripura_pdfs/ac0070007.pdf
Tripura West (GEN),7,Ramnagar (Gen),8,tripura_pdfs/ac0070008.pdf
Tripura West (GEN),7,Ramnagar (Gen),9,tripura_pdfs/ac0070009.pdf
Tripura West (GEN),7,Ramnagar (Gen),10,tripura_pdfs/ac0070010.pdf
Tripura West (GEN),7,Ramnagar (Gen),11,tripura_pdfs/ac0070011.pdf
Tripura West (GEN),7,Ramnagar (Gen),12,tripura_pdfs/ac0070012.pdf
Tripura West (GEN),7,Ramnagar (Gen),13,tripura_pdfs/ac0070013.pdf
Tripura West (GEN),7,Ramnagar (Gen),14,tripura_pdfs/ac0070014.pdf
