district,leg_assembly,polling_station_name,file_name
3 - AIZAWL,7 - Tuivawl(ST),7/1  Mauchar,mizoram_pdfs/AC007PART001.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/2 Zokhawthiang,mizoram_pdfs/AC007PART002.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/3 Tinghmun,mizoram_pdfs/AC007PART003.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/4 Zohmun,mizoram_pdfs/AC007PART004.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/5 Upper Sakawrdai,mizoram_pdfs/AC007PART005.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/6 Palsang,mizoram_pdfs/AC007PART006.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/7  Sakawrdai - I,mizoram_pdfs/AC007PART007.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/8  Sakawrdai - II,mizoram_pdfs/AC007PART008.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/9 Khawpur,mizoram_pdfs/AC007PART009.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/10 Vaitin,mizoram_pdfs/AC007PART010.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/11  N.Khawdungsei,mizoram_pdfs/AC007PART011.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/12 Thingsat,mizoram_pdfs/AC007PART012.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/13 New Vervek,mizoram_pdfs/AC007PART013.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/14 Vervek,mizoram_pdfs/AC007PART014.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/15 Lungsum,mizoram_pdfs/AC007PART015.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/16 Ratu - I,mizoram_pdfs/AC007PART016.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/17 Ratu - II,mizoram_pdfs/AC007PART017.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/18 Sunhluchhip,mizoram_pdfs/AC007PART018.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/19 Sailutar,mizoram_pdfs/AC007PART019.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/20 N.Serzawl,mizoram_pdfs/AC007PART020.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/21 Darlawn - I,mizoram_pdfs/AC007PART021.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/22 Darlawn - II,mizoram_pdfs/AC007PART022.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/23 Darlawn - III,mizoram_pdfs/AC007PART023.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/24 Sawleng,mizoram_pdfs/AC007PART024.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/25 Chhanchhuahna,mizoram_pdfs/AC007PART025.pdf
3 - AIZAWL,7 - Tuivawl(ST),7/26 Kepran,mizoram_pdfs/AC007PART026.pdf
